epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7749,0.32,0.4654,4.58017,0.83031,0,0,0,0,0,0,0,0,0.16087,0.19001,4.3422,0.74361,4.25157e-05,4.25157e-05,4.25157e-05
2,62.897,0.23271,0.29372,4.10549,0.80711,0.05672,0.24218,0.11329,0.11307,0.05672,0.24218,0.11329,0.11329,0.1407,0.16935,3.89189,0.74356,8.3016e-05,8.3016e-05,8.3016e-05
3,92.9847,0.24798,0.25277,3.46771,0.81748,0.78295,0.26407,0.38789,0.38457,0.78295,0.26407,0.38789,0.3868,0.15777,0.16015,2.67144,0.75773,0.000120656,0.000120656,0.000120656
4,122.651,0.25667,0.20216,2.71583,0.82431,0.68118,0.44291,0.51486,0.51304,0.68118,0.44291,0.51486,0.51449,0.15263,0.14937,1.82928,0.75794,0.00011713,0.00011713,0.00011713
5,150.964,0.24559,0.20741,2.06831,0.82572,0.77035,0.58045,0.67686,0.67494,0.77035,0.58045,0.67686,0.67589,0.1543,0.14533,1.25924,0.76514,0.00011284,0.00011284,0.00011284
6,178.34,0.2265,0.20206,1.65284,0.81693,0.82666,0.66112,0.77526,0.7649,0.82666,0.66112,0.77526,0.76999,0.159,0.14317,0.99722,0.77796,0.00010855,0.00010855,0.00010855
7,204.965,0.21204,0.19751,1.35144,0.81776,0.86032,0.76639,0.87198,0.86539,0.86032,0.76639,0.87198,0.87104,0.14168,0.13825,0.74734,0.7766,0.00010426,0.00010426,0.00010426
8,231.341,0.20132,0.21215,1.15687,0.81222,0.87269,0.81571,0.89295,0.88544,0.87269,0.81571,0.89295,0.89057,0.12803,0.12511,0.66111,0.77527,9.997e-05,9.997e-05,9.997e-05
9,258.522,0.19344,0.19971,1.0352,0.81498,0.90359,0.85329,0.948,0.94235,0.90359,0.85329,0.948,0.944,0.12207,0.12982,0.55593,0.77438,9.568e-05,9.568e-05,9.568e-05
10,285.047,0.18835,0.16251,0.94036,0.80731,0.85723,0.88712,0.94231,0.93527,0.85723,0.88712,0.94231,0.93985,0.12336,0.12562,0.53884,0.77194,9.139e-05,9.139e-05,9.139e-05
11,310.335,0.18536,0.16811,0.87284,0.80967,0.90892,0.88218,0.95884,0.95291,0.90892,0.88218,0.95884,0.95727,0.10846,0.11746,0.50298,0.77165,8.71e-05,8.71e-05,8.71e-05
12,336.798,0.17683,0.17732,0.81355,0.80971,0.8906,0.88928,0.97494,0.96973,0.8906,0.88928,0.97494,0.97222,0.10696,0.12027,0.474,0.76887,8.281e-05,8.281e-05,8.281e-05
13,363.455,0.17233,0.17392,0.77504,0.8039,0.92762,0.8858,0.97002,0.96524,0.92762,0.8858,0.97002,0.96786,0.10391,0.11889,0.43012,0.76724,7.852e-05,7.852e-05,7.852e-05
14,390.863,0.17114,0.17622,0.73988,0.80486,0.91678,0.90426,0.97658,0.97302,0.91678,0.90426,0.97658,0.97547,0.10072,0.11287,0.38411,0.76708,7.423e-05,7.423e-05,7.423e-05
15,417.478,0.16848,0.17739,0.72188,0.8044,0.84729,0.96138,0.98044,0.97749,0.84729,0.96138,0.98044,0.97763,0.10379,0.12738,0.36789,0.76825,6.994e-05,6.994e-05,6.994e-05
16,445.131,0.16343,0.17482,0.69311,0.8046,0.86958,0.94783,0.97704,0.97285,0.86958,0.94783,0.97704,0.97519,0.09945,0.12127,0.36302,0.76863,6.565e-05,6.565e-05,6.565e-05
17,471.864,0.16556,0.16063,0.68317,0.80505,0.94318,0.92592,0.99242,0.98797,0.94318,0.92592,0.99242,0.99106,0.09955,0.11903,0.35674,0.76823,6.136e-05,6.136e-05,6.136e-05
