epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3526,0.87129,5.01749,1.25147,0.01879,0.11453,0.0287,0.02652,0.35246,4.07742,0.89203,4.27556e-05,4.27556e-05,4.27556e-05
2,49.4463,0.49989,4.47631,0.99763,0.57766,0.11596,0.1389,0.12884,0.36514,2.89324,0.88997,8.58048e-05,8.58048e-05,8.58048e-05
3,70.3212,0.46945,3.73889,0.98325,0.63839,0.33683,0.3403,0.32361,0.34138,1.93661,0.89587,0.000128568,0.000128568,0.000128568
4,90.8173,0.4469,3.05861,0.9716,0.6553,0.48202,0.46586,0.44604,0.31845,1.58254,0.87809,0.000128713,0.000128713,0.000128713
5,111.628,0.42603,2.57525,0.96103,0.7115,0.53801,0.59259,0.56728,0.3093,1.33277,0.87312,0.000128284,0.000128284,0.000128284
6,131.941,0.4092,2.27893,0.94277,0.62218,0.7233,0.6849,0.65878,0.29483,1.1128,0.85831,0.000127855,0.000127855,0.000127855
7,152.283,0.38437,2.08786,0.93148,0.66604,0.81842,0.73937,0.71859,0.27389,0.97747,0.8376,0.000127426,0.000127426,0.000127426
8,172.916,0.38654,1.96129,0.93423,0.68722,0.84039,0.78503,0.76138,0.28855,0.89611,0.84502,0.000126997,0.000126997,0.000126997
9,193.51,0.36359,1.81938,0.91512,0.70718,0.86016,0.80385,0.78211,0.26902,0.87701,0.83204,0.000126568,0.000126568,0.000126568
10,215.121,0.35617,1.71001,0.91108,0.75727,0.88064,0.82667,0.80401,0.26826,0.80759,0.83254,0.000126139,0.000126139,0.000126139
11,235.785,0.34802,1.65476,0.90741,0.73707,0.90708,0.83769,0.82232,0.25293,0.78832,0.82069,0.00012571,0.00012571,0.00012571
12,256.329,0.34343,1.595,0.90354,0.76413,0.90484,0.83894,0.82461,0.24957,0.73446,0.82091,0.000125281,0.000125281,0.000125281
13,276.628,0.33044,1.52554,0.89918,0.75642,0.9131,0.85979,0.841,0.24788,0.72,0.82542,0.000124852,0.000124852,0.000124852
14,296.905,0.32807,1.47049,0.89455,0.73261,0.9368,0.84264,0.82887,0.24508,0.6658,0.81668,0.000124423,0.000124423,0.000124423
15,316.756,0.32159,1.41163,0.88598,0.75536,0.94892,0.85393,0.83733,0.23807,0.68925,0.81531,0.000123994,0.000123994,0.000123994
16,337.28,0.31835,1.38538,0.88567,0.76304,0.96001,0.85349,0.83621,0.25385,0.63578,0.82403,0.000123565,0.000123565,0.000123565
17,357.374,0.31379,1.34276,0.89126,0.75689,0.94739,0.85946,0.84719,0.23222,0.6417,0.81289,0.000123136,0.000123136,0.000123136
18,377.636,0.31432,1.32489,0.88622,0.76945,0.9618,0.85313,0.84224,0.23163,0.64223,0.81167,0.000122707,0.000122707,0.000122707
19,398.359,0.31947,1.30167,0.8959,0.76448,0.96376,0.85108,0.84042,0.23608,0.63016,0.81056,0.000122278,0.000122278,0.000122278
20,419.351,0.30617,1.26091,0.88034,0.76064,0.96881,0.86729,0.85509,0.23297,0.61923,0.80947,0.000121849,0.000121849,0.000121849
21,439.651,0.29552,1.21864,0.87468,0.76135,0.9688,0.87662,0.86684,0.2157,0.67376,0.8032,0.00012142,0.00012142,0.00012142
22,460.619,0.29694,1.21418,0.87601,0.77424,0.96917,0.8719,0.8631,0.22204,0.59044,0.80472,0.000120991,0.000120991,0.000120991
23,481.512,0.28838,1.15805,0.86706,0.77243,0.94734,0.86408,0.85282,0.21301,0.59335,0.79856,0.000120562,0.000120562,0.000120562
24,503.846,0.30369,1.16627,0.88168,0.78419,0.95622,0.87179,0.86135,0.23014,0.57874,0.80851,0.000120133,0.000120133,0.000120133
25,525.399,0.29473,1.13551,0.87309,0.78409,0.95773,0.87294,0.85885,0.22825,0.56513,0.80505,0.000119704,0.000119704,0.000119704
26,550.081,0.30212,1.13695,0.88029,0.77117,0.94973,0.87305,0.86373,0.22169,0.6025,0.80519,0.000119275,0.000119275,0.000119275
27,571.138,0.28748,1.11772,0.87002,0.78186,0.9404,0.86556,0.85533,0.22034,0.55889,0.80517,0.000118846,0.000118846,0.000118846
28,594.359,0.28207,1.09248,0.86797,0.77276,0.9711,0.86459,0.85561,0.20953,0.5646,0.79922,0.000118417,0.000118417,0.000118417
29,616.169,0.27878,1.07282,0.86997,0.77619,0.96167,0.86244,0.8522,0.21435,0.57636,0.79928,0.000117988,0.000117988,0.000117988
30,638.908,0.27859,1.06643,0.86971,0.77382,0.9418,0.86618,0.85798,0.21598,0.6204,0.8048,0.000117559,0.000117559,0.000117559
31,664.71,0.28065,1.01361,0.86332,0.77145,0.98402,0.88811,0.87677,0.22241,0.54625,0.80299,0.00011713,0.00011713,0.00011713
32,686.773,0.27323,1.01428,0.85966,0.76967,0.97436,0.87838,0.86757,0.21977,0.5661,0.80157,0.000116701,0.000116701,0.000116701
33,708.697,0.27593,0.9987,0.86649,0.76246,0.9712,0.87329,0.86463,0.21589,0.56052,0.80003,0.000116272,0.000116272,0.000116272
34,730.436,0.27687,0.97044,0.86207,0.77742,0.96547,0.87228,0.86398,0.20575,0.54636,0.79663,0.000115843,0.000115843,0.000115843
35,752.492,0.27256,0.96831,0.86297,0.76605,0.96684,0.87116,0.86132,0.20784,0.54166,0.7952,0.000115414,0.000115414,0.000115414
36,775.355,0.27207,0.97616,0.86471,0.77656,0.98317,0.87942,0.87037,0.20888,0.52881,0.797,0.000114985,0.000114985,0.000114985
37,801.587,0.27258,0.92733,0.86336,0.78087,0.96514,0.86776,0.86038,0.20856,0.54397,0.79696,0.000114556,0.000114556,0.000114556
38,823.157,0.27458,0.92316,0.86283,0.7618,0.98934,0.86979,0.86167,0.20492,0.52462,0.79502,0.000114127,0.000114127,0.000114127
39,845.275,0.27372,0.93189,0.86556,0.76929,0.9873,0.87663,0.86952,0.20568,0.5485,0.79737,0.000113698,0.000113698,0.000113698
