annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,27925,601,674,255,481,0.9377
2,1,1899,159,251,203,125,0.9364
3,1,16550,557,73,401,397,0.8836
4,1,24849,176,738,179,295,0.7320
5,1,6562,174,740,176,287,0.0139
6,1,24849,174,702,179,332,0.0082
7,1,36636,177,740,175,291,0.0028
8,1,24849,172,726,262,312,0.0026
9,1,6562,603,678,249,469,0.0025
10,1,1899,150,254,209,119,0.0024
11,1,24849,66,733,291,302,0.0021
12,1,19860,159,252,202,127,0.0019
13,1,24849,72,743,285,316,0.0013
14,1,1899,159,258,220,118,0.0012
15,1,27925,601,667,295,484,0.0012
16,1,36636,159,251,205,125,0.0011
17,1,24849,154,731,218,408,0.0010
18,3,27925,571,629,257,488,0.8936
19,3,1899,143,242,199,129,0.8905
20,3,16550,533,60,384,399,0.8723
21,3,24849,143,702,182,297,0.7071
22,3,6562,141,704,180,290,0.0183
23,3,24849,104,698,219,305,0.0032
24,3,36636,144,704,180,291,0.0027
25,3,6562,575,634,246,482,0.0022
26,3,19860,145,241,196,128,0.0021
27,3,24849,141,698,224,302,0.0020
28,3,36636,141,242,197,126,0.0015
29,3,2482,956,526,20,609,0.0013
30,3,24849,82,688,244,317,0.0013
31,3,36636,533,63,376,396,0.0010
32,4,29344,118,153,270,416,0.9688
33,4,1899,685,808,130,206,0.9383
34,4,24849,601,252,293,165,0.9050
35,4,16550,130,651,293,495,0.7780
36,4,24849,597,233,298,184,0.1582
37,4,24849,596,257,300,177,0.0125
38,4,16547,603,252,287,165,0.0086
39,4,19860,684,807,132,206,0.0044
40,4,24849,604,158,300,257,0.0029
41,4,3742,601,252,289,165,0.0027
42,4,36636,603,254,288,163,0.0025
43,4,33008,601,252,289,164,0.0017
44,4,16550,101,655,329,487,0.0017
45,4,24849,584,215,313,199,0.0016
46,4,1899,687,778,125,236,0.0016
47,4,24849,562,241,335,181,0.0015
48,4,1899,689,810,125,165,0.0014
49,4,29344,111,155,308,414,0.0013
50,4,3350,683,808,133,205,0.0013
51,4,29344,117,155,546,412,0.0012
52,4,36636,683,805,132,207,0.0012
53,4,24849,589,254,387,163,0.0010
54,5,29344,610,717,286,441,0.9525
55,5,24849,99,897,297,158,0.9486
56,5,1899,181,265,132,202,0.9478
57,5,16550,568,112,285,479,0.8012
58,5,24849,91,891,320,170,0.0501
59,5,24849,94,882,302,173,0.0373
60,5,19860,185,267,129,199,0.0090
61,5,1899,186,270,126,188,0.0077
62,5,24849,89,888,306,226,0.0044
63,5,24849,87,788,305,268,0.0044
64,5,5093,96,894,295,165,0.0043
65,5,3742,96,894,295,163,0.0041
66,5,29344,584,718,314,435,0.0025
67,5,16547,98,895,294,165,0.0025
68,5,1899,184,270,126,209,0.0022
69,5,36636,97,894,296,164,0.0018
70,5,33008,96,894,297,164,0.0017
71,5,1899,173,269,144,199,0.0015
72,5,24849,83,885,410,288,0.0014
73,5,24849,92,893,357,171,0.0014
74,5,24849,90,896,302,250,0.0013
75,5,24849,0,862,401,226,0.0013
76,5,1899,188,249,121,215,0.0013
77,5,24849,0,873,400,248,0.0012
