epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4132,0.87746,4.97109,1.25655,0.01932,0.16371,0.04662,0.04304,0.35375,3.82304,0.89584,4.27556e-05,4.27556e-05,4.27556e-05
2,41.5016,0.49954,4.0369,1.00681,0.737,0.16711,0.1853,0.17401,0.35415,2.4381,0.90781,8.58048e-05,8.58048e-05,8.58048e-05
3,61.5266,0.46441,3.21638,0.99067,0.738,0.35522,0.37689,0.36083,0.32315,1.74919,0.8869,0.000128568,0.000128568,0.000128568
4,81.827,0.43158,2.69842,0.97171,0.694,0.54601,0.55371,0.53065,0.31621,1.32963,0.88551,0.000128713,0.000128713,0.000128713
5,101.928,0.40698,2.30515,0.95408,0.65836,0.68303,0.69695,0.67192,0.29949,1.10723,0.87633,0.000128284,0.000128284,0.000128284
6,122.275,0.39328,2.06339,0.94607,0.76892,0.69384,0.75111,0.72642,0.2897,0.98943,0.86107,0.000127855,0.000127855,0.000127855
7,142.49,0.38187,1.92473,0.94047,0.70059,0.81313,0.78744,0.76805,0.26635,0.86644,0.84398,0.000127426,0.000127426,0.000127426
8,162.393,0.37812,1.83447,0.93795,0.72975,0.83542,0.82573,0.80803,0.2529,0.79601,0.83585,0.000126997,0.000126997,0.000126997
9,182.569,0.3561,1.70228,0.92186,0.74427,0.86289,0.84109,0.82506,0.24444,0.73258,0.82946,0.000126568,0.000126568,0.000126568
10,202.35,0.3498,1.61638,0.91534,0.72883,0.92322,0.84387,0.82448,0.25311,0.72308,0.83635,0.000126139,0.000126139,0.000126139
11,222.46,0.34019,1.57564,0.91434,0.73331,0.9035,0.8537,0.83619,0.24847,0.73888,0.83173,0.00012571,0.00012571,0.00012571
12,242.396,0.33781,1.51811,0.90651,0.75418,0.93168,0.868,0.8505,0.24219,0.67974,0.8291,0.000125281,0.000125281,0.000125281
13,261.204,0.33119,1.45865,0.90511,0.76942,0.90909,0.85128,0.8383,0.2376,0.70781,0.82599,0.000124852,0.000124852,0.000124852
14,279.968,0.32978,1.40996,0.90372,0.73462,0.94287,0.87419,0.85875,0.24322,0.66152,0.82758,0.000124423,0.000124423,0.000124423
15,298.781,0.32536,1.34556,0.89481,0.75868,0.9309,0.86862,0.85273,0.23547,0.66948,0.82323,0.000123994,0.000123994,0.000123994
16,317.52,0.31973,1.33234,0.89382,0.76278,0.94074,0.86528,0.85198,0.23331,0.63026,0.82182,0.000123565,0.000123565,0.000123565
17,336.3,0.32148,1.28775,0.90118,0.75027,0.96698,0.86591,0.85271,0.22282,0.61782,0.81689,0.000123136,0.000123136,0.000123136
18,355.237,0.31757,1.27426,0.89762,0.77931,0.95061,0.87415,0.86007,0.22537,0.61527,0.82025,0.000122707,0.000122707,0.000122707
19,374.415,0.32108,1.2636,0.90393,0.75741,0.96783,0.86905,0.85684,0.22288,0.6011,0.81763,0.000122278,0.000122278,0.000122278
20,393.863,0.3072,1.20632,0.88668,0.75867,0.95753,0.87024,0.86076,0.21559,0.61198,0.81187,0.000121849,0.000121849,0.000121849
21,412.977,0.30018,1.18075,0.87932,0.74957,0.97081,0.87704,0.86357,0.22353,0.62223,0.81472,0.00012142,0.00012142,0.00012142
22,433.111,0.29846,1.16089,0.88686,0.75149,0.96906,0.87007,0.85566,0.22997,0.58389,0.82044,0.000120991,0.000120991,0.000120991
23,453.969,0.29122,1.11528,0.87455,0.76684,0.96056,0.88519,0.87345,0.21898,0.58293,0.81411,0.000120562,0.000120562,0.000120562
24,475.107,0.30027,1.12478,0.88824,0.77214,0.96885,0.87408,0.85911,0.22424,0.57542,0.81494,0.000120133,0.000120133,0.000120133
25,495.649,0.29861,1.09685,0.8803,0.7584,0.97351,0.88363,0.873,0.22259,0.56922,0.81415,0.000119704,0.000119704,0.000119704
26,516.385,0.29978,1.0836,0.88716,0.76692,0.96846,0.87794,0.86911,0.21899,0.57561,0.81389,0.000119275,0.000119275,0.000119275
27,536.962,0.28848,1.06512,0.87636,0.76279,0.97366,0.87751,0.86895,0.21088,0.55392,0.81025,0.000118846,0.000118846,0.000118846
28,557.736,0.28882,1.05491,0.8754,0.75802,0.98413,0.88302,0.8732,0.2133,0.55453,0.81309,0.000118417,0.000118417,0.000118417
29,579.345,0.28276,1.03238,0.87727,0.7649,0.96969,0.87476,0.86568,0.21022,0.54712,0.80931,0.000117988,0.000117988,0.000117988
30,600.37,0.28781,1.02462,0.88046,0.76264,0.97261,0.88503,0.87702,0.20838,0.58903,0.81033,0.000117559,0.000117559,0.000117559
31,621.508,0.27835,0.96148,0.87114,0.76762,0.96797,0.87838,0.86727,0.21388,0.55959,0.81293,0.00011713,0.00011713,0.00011713
32,642.35,0.27814,0.97235,0.87077,0.78106,0.97482,0.88264,0.87354,0.21055,0.54973,0.80918,0.000116701,0.000116701,0.000116701
33,662.92,0.27993,0.95633,0.87619,0.765,0.97112,0.88637,0.87618,0.21065,0.55241,0.80832,0.000116272,0.000116272,0.000116272
34,683.573,0.27799,0.9359,0.87025,0.77966,0.97156,0.88258,0.87146,0.21501,0.54463,0.80981,0.000115843,0.000115843,0.000115843
35,703.757,0.27959,0.9337,0.87387,0.77869,0.96609,0.87606,0.86723,0.20412,0.55164,0.80714,0.000115414,0.000115414,0.000115414
36,725.504,0.27858,0.93463,0.87117,0.78847,0.96566,0.88678,0.8759,0.20651,0.52595,0.80666,0.000114985,0.000114985,0.000114985
37,746.192,0.27825,0.8895,0.87331,0.7781,0.97069,0.88885,0.88096,0.2051,0.54248,0.80698,0.000114556,0.000114556,0.000114556
38,766.67,0.27506,0.88997,0.87002,0.74804,0.97439,0.88765,0.87991,0.20078,0.53622,0.80464,0.000114127,0.000114127,0.000114127
39,787.634,0.27745,0.89715,0.87184,0.78609,0.9722,0.88239,0.87575,0.20225,0.52564,0.8048,0.000113698,0.000113698,0.000113698
40,808.515,0.27048,0.8601,0.87143,0.77469,0.97267,0.87837,0.87022,0.20316,0.52387,0.80754,0.000113269,0.000113269,0.000113269
41,828.864,0.26701,0.85522,0.86847,0.77523,0.97499,0.88001,0.87082,0.21268,0.52643,0.80823,0.00011284,0.00011284,0.00011284
42,849.095,0.27398,0.87918,0.86953,0.77073,0.97577,0.88275,0.87498,0.20032,0.51916,0.80559,0.000112411,0.000112411,0.000112411
43,870.432,0.27055,0.86862,0.87264,0.77788,0.98199,0.88207,0.87391,0.20287,0.51365,0.80556,0.000111982,0.000111982,0.000111982
44,891.053,0.26984,0.83136,0.87172,0.77672,0.98366,0.8793,0.87127,0.19623,0.52833,0.80465,0.000111553,0.000111553,0.000111553
45,911.995,0.26109,0.81806,0.86266,0.77467,0.973,0.87319,0.86561,0.19713,0.50838,0.80342,0.000111124,0.000111124,0.000111124
46,933.313,0.26422,0.81639,0.86802,0.75806,0.96652,0.87059,0.86268,0.19896,0.52179,0.80319,0.000110695,0.000110695,0.000110695
47,953.984,0.26565,0.8094,0.86769,0.76699,0.98144,0.88199,0.87694,0.19385,0.51786,0.8027,0.000110266,0.000110266,0.000110266
48,976.377,0.26808,0.81312,0.8716,0.76979,0.98009,0.87862,0.872,0.1977,0.50532,0.80189,0.000109837,0.000109837,0.000109837
49,998.217,0.26227,0.79124,0.86648,0.7745,0.97141,0.87243,0.86577,0.19385,0.51369,0.80112,0.000109408,0.000109408,0.000109408
50,1019.94,0.26043,0.76608,0.86354,0.77816,0.95633,0.88085,0.87409,0.19721,0.50326,0.80237,0.000108979,0.000108979,0.000108979
51,1041.18,0.25954,0.77387,0.86395,0.77069,0.97936,0.88314,0.87643,0.19245,0.5112,0.80144,0.00010855,0.00010855,0.00010855
52,1062.21,0.26057,0.76874,0.86458,0.76969,0.98299,0.88537,0.87816,0.19824,0.51279,0.80218,0.000108121,0.000108121,0.000108121
53,1083.23,0.26107,0.75923,0.86604,0.7701,0.98184,0.87697,0.86995,0.19511,0.52404,0.80195,0.000107692,0.000107692,0.000107692
54,1103.65,0.2552,0.75182,0.86623,0.78333,0.97344,0.8878,0.88052,0.20379,0.49632,0.80491,0.000107263,0.000107263,0.000107263
55,1123.44,0.25466,0.74341,0.86167,0.77493,0.96671,0.8761,0.86869,0.1928,0.4996,0.80152,0.000106834,0.000106834,0.000106834
56,1143.47,0.26113,0.75011,0.86444,0.77797,0.96418,0.88041,0.87355,0.20295,0.50756,0.80238,0.000106405,0.000106405,0.000106405
57,1164.03,0.25706,0.72932,0.86036,0.77392,0.97242,0.87802,0.87109,0.19232,0.50169,0.8007,0.000105976,0.000105976,0.000105976
58,1185.35,0.25434,0.72837,0.86229,0.74089,0.99378,0.88843,0.88145,0.19706,0.50827,0.80273,0.000105547,0.000105547,0.000105547
59,1205.37,0.25521,0.7239,0.86667,0.77395,0.9714,0.8878,0.87964,0.19263,0.51516,0.80039,0.000105118,0.000105118,0.000105118
